PRODUCT_ID_MASTER,PRODUCT_NAME_MASTER,UNIT_PRICE_MASTER,TRANSACTION_ID,TRANSACTION_DATE,PRODUCT_NAME,QUANTITY,UNIT_PRICE,TOTAL_PRICE,SIMILARITY
P001,ソニー BRAVIA KJ-55X9500G,150000,R000001,2023-01-01,ソニーBRAVIAKJ-55X9500G［期間限定］,2,150000,300000,0.9934140473
P002,パナソニック VIERA TH-55FX700M,120000,R000002,2023-02-02,パナソニック VIERA TH-55FX700M【店頭】＜期間限定＞,3,120000,360000,0.9617300182
P003,シャープ AQUOS 4T KJ-55X7000,110000,R000003,2023-03-03,シャープ AQUOS 4T KJ-55X7000[半額セール],4,110000,440000,0.9810262036
P004,日清 カップヌードル,200,R000004,2023-04-04,日清カップヌードル［期間限定］,5,200,1000,0.9767740392
P005,キリン 一番搾りビール,400,R000005,2023-05-05,キリン 一番搾りビール【店頭】＜半額セール＞,1,400,400,0.9863294324
P006,花王 アタック洗剤,800,R000006,2023-06-06,アタック洗剤（期間限定）,2,800,1600,0.9999993806
P007,ユニクロ ヒートテックTシャツ,1500,R000007,2023-07-07,ﾕﾆｸﾛﾋｰﾄﾃッｸTｼャﾂ[半額セール],3,1500,4500,0.9898247577
P008,無印良品 オーガニックコットンシャツ,2500,R000008,2023-08-08,無印良品 オーガニックコットンシャツ【店頭】［期間限定］,4,2500,10000,0.9939742864
P052,無印良品 リネンシャツ,2800,R000008,2023-08-08,無印良品 オーガニックコットンシャツ【店頭】［期間限定］,4,2500,10000,0.9249609959
P009,パイロット フリクションボールペン,100,R000009,2023-09-09,パイロット フリクションボールペン【閉店セール】,5,100,500,0.9749221461
P062,パイロット フリクションペン,130,R000009,2023-09-09,パイロット フリクションボールペン【閉店セール】,5,100,500,0.9595877156
P010,タカラトミー ガンダムフィギュア,3000,R000010,2023-10-10,タカラトミーガンダムフィギュア【期間限定】,1,3000,3000,0.9842984305
