creative_id,campaign_id,creative_name,creative_type,image_file_path,copy_text,headline,cta_text,target_segment,platform,start_date,end_date,impressions,clicks,conversions,spend
CRE-2024-00001,CMP-2024-WINTER01,北欧風ペンダントライト_メイン,image,pendant_light_main.png,上質な光が、暮らしを変える。グレイシャースタイルの北欧風ペンダントライトで、心地よい空間を。,冬の夜を彩る北欧デザイン,今すぐチェック,インテリア好き30-50代,google,2024-12-01,2024-12-31,1234567,12345,234,234567.00
CRE-2024-00002,CMP-2024-WINTER01,北欧風ペンダントライト_リターゲ,image,pendant_light_retarget.png,カートに入れた商品、お忘れではないですか？今なら送料無料キャンペーン中。,お気に入りの照明、まだ見つかっていませんか？,購入を完了する,サイト訪問者リターゲ,google,2024-12-01,2024-12-31,567890,8901,189,156789.00
CRE-2024-00003,CMP-2024-WINTER01,LED調光デスクライト_動画,video,desk_light_15s_thumb.png,在宅ワークの必需品。3段階調光で、あなたの作業環境を最適化。グレイシャースタイルのLED調光デスクライト。,目に優しい光で、集中力アップ,詳しく見る,在宅ワーカー25-45歳,google,2024-12-01,2024-12-31,2345678,23456,456,456789.00
CRE-2024-00004,CMP-2024-XMAS01,プレミアムカシミヤセーター_ギフト,image,cashmere_gift.png,今年のクリスマスは、特別なカシミヤを。ギフトラッピング対応・のし無料。,大切な人に、上質なぬくもりを,ギフトを選ぶ,ギフト検索者25-55歳女性,meta,2024-12-10,2024-12-25,1567890,18901,378,345678.00
CRE-2024-00005,CMP-2024-XMAS01,ワイヤレスイヤホン_プレゼント,image,earbuds_gift.png,ノイズキャンセリング搭載。通勤も、在宅も、これ一つで。クリスマスギフトに最適。,音楽好きなあの人へ、最高の音を,今すぐ購入,テック好き20-40代男性,meta,2024-12-10,2024-12-25,987654,12345,234,234567.00
CRE-2024-00006,CMP-2024-YEAREND01,収納付きデスク_セール,image,desk_sale.png,新年、新しいデスクで新しいスタートを。在宅ワークに最適な収納付きデスクが特別価格。,【最大30%OFF】年末大感謝祭,セール会場へ,新生活準備層20-35歳,google,2024-12-20,2024-12-31,2345678,34567,567,123456.00
CRE-2024-00007,CMP-2024-YEAREND01,モダンデスクライト_セール,image,desk_light_sale.png,年末大感謝祭開催中。LINE友達だけの特別クーポンをプレゼント。,LINE友達限定！追加10%OFF,クーポンを獲得,LINE友達,line,2024-12-20,2024-12-31,876543,9876,187,98765.00
CRE-2024-00008,CMP-2024-SMART01,スマートスピーカー_新規,image,smart_speaker.png,AlexaとGoogleHome両対応。音楽も、家電操作も、これ一つ。,声だけで、暮らしがもっと便利に,今すぐ体験,スマートホーム興味層,google,2024-11-01,2024-11-30,1876543,15678,234,400000.00
CRE-2024-00009,CMP-2024-SMART01,スマートスピーカー_動画,video,smart_speaker_30s_thumb.png,スマートスピーカーで実現する、ストレスフリーな毎日。設定も簡単、すぐに使える。,「OK グーグル」で、暮らしが変わる,詳細を見る,スマートホーム興味層,google,2024-11-01,2024-11-30,3456789,28901,456,600000.00
CRE-2024-00010,CMP-2024-ORGANIC01,オーガニックコットンTシャツ_ブランド,image,organic_cotton.png,オーガニックコットン100%。着心地の良さを、毎日の暮らしに。,肌にも、地球にも、やさしい選択,コレクションを見る,オーガニック志向25-45歳女性,meta,2024-12-01,2024-12-31,1234567,14567,289,178901.00
CRE-2024-00011,CMP-2024-NORDIC01,北欧風フロアライト_特集,image,floor_light_nordic.png,シンプルで美しい北欧デザイン。リビングを優しく照らすフロアライト。,北欧の灯りで、癒しの空間を,インスピレーションを得る,インテリア好き女性25-45歳,meta,2024-12-01,2024-12-31,987654,12345,198,123456.00
CRE-2024-00012,CMP-2024-NORDIC01,北欧インテリア図鑑_書籍,image,nordic_book.png,北欧インテリアの全てがわかる一冊。写真集としても楽しめる。,あなたの理想の部屋が、ここにある,立ち読みする,インテリア・読書好き,google,2024-12-01,2024-12-31,567890,6789,123,78901.00
CRE-2024-00013,CMP-2024-BRAND01,ブランド認知_動画,video,brand_awareness_30s_thumb.png,グレイシャースタイルは、あなたの暮らしに寄り添うライフスタイルブランドです。,上質な暮らしを、あなたに,ブランドを知る,新規見込み客25-55歳,google,2024-12-01,2024-12-31,4567890,45678,678,567890.00
CRE-2024-00014,CMP-2024-BRAND01,新規登録_CTA,image,new_member.png,グレイシャースタイルの会員になって、お得にお買い物を始めよう。,今だけ！新規会員登録で1000ポイントプレゼント,無料で登録,新規見込み客,meta,2024-12-01,2024-12-31,1234567,23456,456,234567.00
CRE-2024-00015,CMP-2024-APP01,アプリ_インストール,image,app_download.png,グレイシャースタイル公式アプリで、もっとお得に、もっと便利に。,アプリ限定クーポン配信中！,ダウンロード,モバイルユーザー,google,2024-12-01,2024-12-31,2345678,34567,1234,289012.00
