product_id,product_name,product_name_en,category_l1,category_l2,category_l3,brand,supplier_id,cost_price,list_price,current_price,stock_quantity,product_status,launch_date,description,weight_g,dimensions
PRD-INT-00001,スタイリッシュデスクライト,Modern Desk Light,インテリア,照明,デスクライト,GlacierStyle Original,SUP-00022,25420.62,81335.48,63709.77,113,discontinued,2020-09-16,スタイリッシュなデザインと機能性を両立したデスクライト。スタイリッシュデスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1980,W26×D17×H33cm
PRD-INT-00002,スタイリッシュデスクライト,Modern Desk Light,インテリア,照明,デスクライト,NordicHome Original,SUP-00037,8403.31,19406.36,15050.25,61,discontinued,2023-09-29,スタイリッシュなデザインと機能性を両立したデスクライト。スタイリッシュデスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1237,W10×D26×H20cm
PRD-INT-00003,モダンデスクライト,Compact Desk Lamp,インテリア,照明,デスクライト,GlacierStyle Original,SUP-00049,27250.39,63862.84,54364.54,394,active,2024-05-27,スタイリッシュなデザインと機能性を両立したデスクライト。モダンデスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1611,W22×D12×H31cm
PRD-INT-00004,LED調光デスクライト,Stylish Desk Light,インテリア,照明,デスクライト,MinimalSpace Original,SUP-00034,12136.71,41825.45,32543.18,159,active,2022-11-27,スタイリッシュなデザインと機能性を両立したデスクライト。LED調光デスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1123,W11×D25×H60cm
PRD-INT-00005,コンパクトデスクライト,Modern Desk Light,インテリア,照明,デスクライト,UrbanDecor Original,SUP-00046,24796.68,75111.58,58377.58,353,active,2020-06-20,スタイリッシュなデザインと機能性を両立したデスクライト。コンパクトデスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1888,W26×D29×H43cm
PRD-INT-00006,LED調光デスクライト,LED Dimmable Desk Lamp,インテリア,照明,デスクライト,MinimalSpace Original,SUP-00014,5314.65,18090.39,17773.99,443,active,2023-01-04,スタイリッシュなデザインと機能性を両立したデスクライト。LED調光デスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1818,W16×D20×H45cm
PRD-INT-00007,コンパクトデスクライト,Stylish Desk Light,インテリア,照明,デスクライト,UrbanDecor Original,SUP-00004,23887.37,71209.29,62890.43,53,active,2024-01-20,スタイリッシュなデザインと機能性を両立したデスクライト。コンパクトデスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,700,W14×D28×H39cm
PRD-INT-00008,スタイリッシュデスクライト,Modern Desk Light,インテリア,照明,デスクライト,MinimalSpace Original,SUP-00014,6988.24,20155.19,14587.38,441,discontinued,2021-12-07,スタイリッシュなデザインと機能性を両立したデスクライト。スタイリッシュデスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1477,W21×D13×H33cm
PRD-INT-00009,LED調光デスクライト,Stylish Desk Light,インテリア,照明,デスクライト,NordicHome Original,SUP-00024,21875.12,58449.75,54378.31,370,active,2020-11-26,スタイリッシュなデザインと機能性を両立したデスクライト。LED調光デスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1188,W11×D26×H20cm
PRD-INT-00010,モダンデスクライト,Stylish Desk Light,インテリア,照明,デスクライト,ModernLiving Original,SUP-00023,3590.23,8693.56,8371.95,97,active,2024-03-08,スタイリッシュなデザインと機能性を両立したデスクライト。モダンデスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,427,W17×D15×H28cm
PRD-INT-00011,モダンデスクライト,Compact Desk Lamp,インテリア,照明,デスクライト,MinimalSpace Original,SUP-00041,7464.86,17144.49,13347.02,271,active,2021-12-31,スタイリッシュなデザインと機能性を両立したデスクライト。モダンデスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,874,W30×D26×H42cm
PRD-INT-00012,コンパクトデスクライト,LED Dimmable Desk Lamp,インテリア,照明,デスクライト,ModernLiving Original,SUP-00041,3259.6,8348.13,7576.9,183,discontinued,2022-06-24,スタイリッシュなデザインと機能性を両立したデスクライト。コンパクトデスクライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,436,W30×D19×H59cm
PRD-INT-00013,モダンフロアライト,Standing Floor Lamp,インテリア,照明,フロアライト,MinimalSpace Original,SUP-00004,9947.7,23089.41,18295.1,21,active,2022-01-12,スタイリッシュなデザインと機能性を両立したフロアライト。モダンフロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1684,W23×D30×H54cm
PRD-INT-00014,北欧風フロアライト,Ambient Floor Lamp,インテリア,照明,フロアライト,GlacierStyle Original,SUP-00042,25475.47,55109.71,46012.52,197,active,2020-12-10,スタイリッシュなデザインと機能性を両立したフロアライト。北欧風フロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,300,W24×D25×H27cm
PRD-INT-00015,モダンフロアライト,Ambient Floor Lamp,インテリア,照明,フロアライト,MinimalSpace Original,SUP-00019,3322.91,6971.73,5532.39,158,active,2022-06-15,スタイリッシュなデザインと機能性を両立したフロアライト。モダンフロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1394,W30×D10×H21cm
PRD-INT-00016,スタンディングフロアライト,Standing Floor Lamp,インテリア,照明,フロアライト,UrbanDecor Original,SUP-00018,13570.35,44703.74,39911.92,133,active,2022-02-20,スタイリッシュなデザインと機能性を両立したフロアライト。スタンディングフロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,465,W23×D26×H54cm
PRD-INT-00017,北欧風フロアライト,Nordic Floor Light,インテリア,照明,フロアライト,NordicHome Original,SUP-00002,15584.34,34681.86,34242.33,287,active,2023-05-14,スタイリッシュなデザインと機能性を両立したフロアライト。北欧風フロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,909,W30×D11×H45cm
PRD-INT-00018,北欧風フロアライト,Modern Floor Light,インテリア,照明,フロアライト,ModernLiving Original,SUP-00047,23697.96,69948.3,52206.6,192,active,2021-12-07,スタイリッシュなデザインと機能性を両立したフロアライト。北欧風フロアライトは、モダンな空間にぴったりのインテリアアイテムです。高品質な素材を使用し、長くご愛用いただけます。,1224,W26×D14×H45cm
